data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
exp5,4,82,end_to_end,57.39142429406053,71.2070232281428,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,82,erm,57.23225749613669,70.97513893567663,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,82,lightgbm,57.33216343667635,71.11352658405899,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,4,82,oracle_gmm,57.23188636944394,65.2368901996019,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,4,15,end_to_end,265.66993777989103,263.5818219265452,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,15,erm,265.67718124431855,263.67928510203217,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,15,lightgbm,266.219636018485,261.668605360791,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,4,15,oracle_gmm,265.3937075570243,150.47346593177562,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,4,4,end_to_end,199.05936610617968,358.5077281168941,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,4,erm,198.4183864447237,356.76157720411464,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,4,lightgbm,198.6521973829045,357.17900636780126,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,4,4,oracle_gmm,198.3592454172314,282.90648727571863,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,4,95,end_to_end,75.26854213395833,357.88439760324155,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,95,erm,74.06914437832127,354.3029341855203,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,95,lightgbm,74.15294835426768,352.6549868196657,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,4,95,oracle_gmm,74.06419320956442,286.68868257011246,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,4,36,end_to_end,183.0659756498406,197.0369082416019,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,36,erm,182.56926608999424,194.23445616858896,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,36,lightgbm,185.38623412693997,211.95008799744863,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,4,36,oracle_gmm,182.59396416434177,155.0444612636039,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,4,32,end_to_end,210.2400271926682,973.906991183949,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,4,32,erm,206.0773571504934,980.621540491766,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,4,32,lightgbm,207.32050549248063,963.710884866264,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
