dataset,dim,random_state,simulation_num,metric1,metric2,ipa_gradient_variance_trace,weighted_ipa_gradient_variance_trace,ipa_batched_gradient_variance,weighted_ipa_batched_gradient_variance,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,ipa_gradient_weight
exp5,4,82,1,57.5339469909668,65.85610961914062,87.27581787109375,21.81895446777344,87.27581787109375,21.81895446777344,0.0028956807218492,9.34215259552002,19.85767936706543,0.221328318119049,1.6016288548707962,0.0043823198182984,8.0,16.0,1.0,137.0,30082.0,30140.0,0.5
exp5,4,82,4,57.52578353881836,65.85075378417969,6.047859191894531,1.5119647979736328,6.047859191894531,1.5119647979736328,0.0002006588911172,2.4592394828796387,18.3198184967041,0.0180201884359121,1.618657037615776,0.0006444196900228,8.0,16.0,4.0,137.0,30082.0,30140.0,0.5
exp5,4,82,16,57.51580429077149,65.84015655517578,0.986560881137848,0.2466402202844619,0.986560881137848,0.2466402202844619,3.273260881542228e-05,0.993257701396942,18.15028381347656,0.0029947259463369,1.6166032999753952,8.801291205655965e-05,8.0,16.0,16.0,137.0,30082.0,30140.0,0.5
exp5,4,82,64,57.51425552368164,65.84174346923828,1.1670149564743042,0.291753739118576,1.1670149564743042,0.291753739118576,3.8719805161235854e-05,1.0802847146987915,19.540058135986328,0.0030565024353563,1.607502356171608,2.495947659829158e-05,8.0,16.0,64.0,137.0,30082.0,30140.0,0.5
exp5,4,82,256,57.49531555175781,65.82391357421875,0.1929487138986587,0.0482371784746646,0.1929487138986587,0.0482371784746646,6.401749033102533e-06,0.4392592906951904,17.459253311157227,0.000632980838418,1.6118583232164383,1.1881209563112196e-05,8.0,16.0,256.0,137.0,30082.0,30140.0,0.5
exp5,4,15,1,267.3485107421875,152.2413330078125,79.3881607055664,19.8470401763916,79.3881607055664,19.8470401763916,0.0026339800097048,8.910003662109375,23.983402252197266,0.1380175054073333,5.141379117965698,0.0093921094398215,8.0,16.0,1.0,137.0,30015.0,30140.0,0.5
exp5,4,15,4,267.090087890625,151.81289672851562,155.9658966064453,38.99147415161133,155.9658966064453,38.99147415161133,0.0051747146062552,12.488630294799805,23.543777465820312,0.2813697159290313,5.240926921367645,0.0035757315887516,8.0,16.0,4.0,137.0,30015.0,30140.0,0.5
exp5,4,15,16,267.01531982421875,151.70526123046875,9.928921699523926,2.4822304248809814,9.928921699523926,2.4822304248809814,0.000329426722601,3.1510190963745117,25.531702041625977,0.0152314957231283,5.214548707008362,0.0004120860381817,8.0,16.0,16.0,137.0,30015.0,30140.0,0.5
exp5,4,15,64,267.1598205566406,151.783203125,2.262997627258301,0.5657494068145752,2.262997627258301,0.5657494068145752,7.508286944357678e-05,1.504326343536377,28.603355407714844,0.0027659870684146,5.208534777164459,0.0002360917024191,8.0,16.0,64.0,137.0,30015.0,30140.0,0.5
exp5,4,15,256,267.1172790527344,151.9894256591797,0.5528539419174194,0.1382134854793548,0.5528539419174194,0.1382134854793548,1.834286558732856e-05,0.7435414791107178,27.317928314208984,0.0007408238016068,5.206963002681732,4.6251716375828824e-05,8.0,16.0,256.0,137.0,30015.0,30140.0,0.5
exp5,4,4,1,199.3941192626953,286.8462219238281,12.815315246582031,3.203828811645508,12.815315246582031,3.203828811645508,0.0004251929349265,3.579848527908325,4.477560043334961,0.6392143368721008,2.4568377435207367,0.001804195466498,8.0,16.0,1.0,137.0,30004.0,30140.0,0.5
exp5,4,4,4,199.314697265625,286.7186584472656,2.057102918624878,0.5142757296562195,2.057102918624878,0.5142757296562195,6.825158925494179e-05,1.434260368347168,4.326658725738525,0.1098881140351295,2.4485439360141754,0.0007948783533028,8.0,16.0,4.0,137.0,30004.0,30140.0,0.5
