data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
van-havre,4,82,end_to_end,253.42434263119637,1160.122905939164,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,82,erm,251.51983298968435,1156.771353338217,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,82,lightgbm,258.8621159411444,939.216922774281,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,82,oracle_gmm,251.93292326899237,175.9376449631793,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,15,end_to_end,264.32252108719024,1575.3569894836128,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,15,erm,257.27014702343996,1550.7929525907025,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,15,lightgbm,291.25334532429633,1304.6923157440156,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,15,oracle_gmm,256.08926548612385,150.54669748873633,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,4,end_to_end,267.44417974575697,1380.0226224232754,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,4,erm,258.9850348731377,1379.0678837000908,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,4,lightgbm,311.1541142066611,1074.1195504984016,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,4,oracle_gmm,257.2461656233202,141.299757705835,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,95,end_to_end,273.21608017000534,1186.115318038131,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,95,erm,264.2456257628898,1189.0508317881447,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,95,lightgbm,330.99632993367356,880.9512092464297,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,95,oracle_gmm,261.80663588230686,179.5969757675092,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,36,end_to_end,261.05032019826814,1181.696527031485,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,36,erm,256.53139648521795,1202.724848876973,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,36,lightgbm,301.9655918595056,902.8578563747116,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,36,oracle_gmm,256.9137847456412,141.11713276875398,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,32,end_to_end,262.05436881317286,1161.2331720329005,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,32,erm,253.79134210561125,1198.6359308876472,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,32,lightgbm,272.75306461547837,963.3362679332268,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,32,oracle_gmm,253.3485810602789,153.00314934956037,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,29,end_to_end,265.1848168889787,1307.1844806271538,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,4,29,erm,262.2395507235858,1283.9809058684466,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
