dataset,dim,random_state,method,metric1,metric2,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256
van_havre,4,82,gendfl_spline,307.95343017578125,182.92864990234375,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39
van_havre,4,15,gendfl_spline,415.6271362304687,159.61509704589844,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835
van_havre,4,4,gendfl_spline,404.6307067871094,151.639892578125,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df
van_havre,4,95,gendfl_spline,412.936279296875,188.9705810546875,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104
van_havre,4,36,gendfl_spline,326.9949951171875,149.0746307373047,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d
van_havre,4,32,gendfl_spline,333.1998291015625,159.04598999023438,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63
van_havre,4,29,gendfl_spline,388.0951843261719,154.75543212890625,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310
van_havre,4,18,gendfl_spline,368.0376892089844,149.46209716796875,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9
van_havre,4,14,gendfl_spline,370.9919738769531,164.8555908203125,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55
van_havre,4,87,gendfl_spline,321.2038879394531,163.2576446533203,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b
van_havre,9,82,gendfl_spline,316.6046447753906,184.99237060546875,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6
van_havre,9,15,gendfl_spline,274.5350036621094,156.9605712890625,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38
van_havre,9,4,gendfl_spline,390.4844665527344,152.72581481933594,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2
van_havre,9,95,gendfl_spline,341.58514404296875,187.8099822998047,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058
van_havre,9,36,gendfl_spline,312.95977783203125,151.07337951660156,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6
van_havre,9,32,gendfl_spline,305.60736083984375,163.01962280273438,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87
van_havre,9,29,gendfl_spline,345.7099914550781,161.9287109375,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564
van_havre,9,18,gendfl_spline,400.2126159667969,151.26239013671875,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b
van_havre,9,14,gendfl_spline,386.9739990234375,171.19891357421875,50,50,64,9050,projected_sgd,48c122be09bea5305d765014c2fab41ce4cb86376cec4fc21ef687482d363258
van_havre,9,87,gendfl_spline,394.89886474609375,165.26463317871094,50,50,64,9050,projected_sgd,6ff2e12346381771382b5dfa079d965a33206ab1b8205bd329b01902fb5410c5
van_havre,14,82,gendfl_spline,327.17236328125,183.7331390380859,50,50,64,9050,projected_sgd,15055306c3028b4c9bc385e389036302d0e68e6e9afb26545dfacae83d442dca
van_havre,14,15,gendfl_spline,345.12579345703125,165.14161682128906,50,50,64,9050,projected_sgd,596ebda6400342b7af65a651b32edc15460c7556b57be16e0cb4648a117f31cf
van_havre,14,4,gendfl_spline,359.7347106933594,155.1446075439453,50,50,64,9050,projected_sgd,45d876908fe312f9e49a32763fc3747ce658b5471be0f0bdae0d5752a29413cc
van_havre,14,95,gendfl_spline,364.97857666015625,183.23130798339844,50,50,64,9050,projected_sgd,ab884b6d2b7b76350e39bae6ef3ece53538685fece7434a30f8e874907af2b23
van_havre,14,36,gendfl_spline,318.7908935546875,153.08770751953125,50,50,64,9050,projected_sgd,4ff6379ed145cee72ce017c31d46bc60b928c235cc8061dadc2beb621fe74d60
van_havre,14,32,gendfl_spline,363.427734375,163.1309051513672,50,50,64,9050,projected_sgd,1654dc3aeb2b3357641308f384f98c6b3c26c7143115c98eaa081fe69760f0c0
van_havre,14,29,gendfl_spline,442.5230407714844,159.32984924316406,50,50,64,9050,projected_sgd,9294d72fa5b61f8ee466b08f0362324b62bffcd55e6a5cc792223b36722d735a
van_havre,14,18,gendfl_spline,418.4909057617187,157.55560302734375,50,50,64,9050,projected_sgd,dafef547df37897cfdd07e450a80973c66a35bf8aa07cb5b24dacfe6f27e43a1
van_havre,14,14,gendfl_spline,376.028564453125,166.31092834472656,50,50,64,9050,projected_sgd,e63fd45cd7e50f8fb6b7e0790da39726b948e2cad12a19f16f1de3f1e2a9cb4b
van_havre,14,87,gendfl_spline,359.6585693359375,165.58157348632812,50,50,64,9050,projected_sgd,62ae7bd64d0144c8cd36d72a442dd28153562a097bbaf76225deb49b8a4a9dbd
van_havre,19,82,gendfl_spline,359.3736572265625,187.1766815185547,50,50,64,9050,projected_sgd,e90c14de025c5c66c45a02b6be5e6e33f0a26e2a3ef3434173514d7a5d15ac0e
van_havre,19,15,gendfl_spline,310.6451416015625,165.29771423339844,50,50,64,9050,projected_sgd,cb34c1839b2176d4bd532159eec9244289e92c58cbc2897c030cbb7489f2c296
van_havre,19,4,gendfl_spline,354.24395751953125,151.05484008789062,50,50,64,9050,projected_sgd,014743b694c72e3462cf0b24c3b60bf7f34ee273e487c71e494f3e7151444f4a
van_havre,19,95,gendfl_spline,389.6396179199219,185.0660858154297,50,50,64,9050,projected_sgd,9ad55b69db990f153e8df55d08d68feb60c4decf80bac9cb3feaa01a3daf01f0
van_havre,19,36,gendfl_spline,371.1170349121094,153.5117950439453,50,50,64,9050,projected_sgd,344353085eac7599368c8293b9d7b13c9b161e2328eea7c4c8f4372fd91d881f
van_havre,19,32,gendfl_spline,333.55517578125,161.51132202148438,50,50,64,9050,projected_sgd,0e8e7ba1b996a83247ff72e097e04945b4323c5a483812f55a660af0e25531b8
van_havre,19,29,gendfl_spline,359.4861755371094,158.06790161132812,50,50,64,9050,projected_sgd,439de3d690b01dbb6f7a8469b4b9b8672c57793ee92d3786cd52bd508352ce25
van_havre,19,18,gendfl_spline,359.2117919921875,155.3712615966797,50,50,64,9050,projected_sgd,4a91b525a05403bd2ba4d60081a6b7d241a91ee42b190c869365c0435cb30eac
van_havre,19,14,gendfl_spline,388.43505859375,170.84449768066406,50,50,64,9050,projected_sgd,8b60cc7cd2d0502657b6d4a688ac57f4e62662c311c90c8b07a99216e8412a45
