dataset,dim,random_state,lambda,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,4,82,0.1,rseto_ipa_lambda0.1,256.4398498535156,242.2341156005859,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,0.3,rseto_ipa_lambda0.3,256.5242919921875,196.19406127929688,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,0.5,rseto_ipa_lambda0.5,256.6460876464844,188.3716735839844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,0.7,rseto_ipa_lambda0.7,256.95220947265625,184.38232421875,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,0.9,rseto_ipa_lambda0.9,258.4111633300781,182.67459106445312,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,15,0.1,rseto_ipa_lambda0.1,297.5802917480469,314.442626953125,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,0.3,rseto_ipa_lambda0.3,301.7735595703125,191.791015625,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,0.5,rseto_ipa_lambda0.5,306.39996337890625,168.57797241210938,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,0.7,rseto_ipa_lambda0.7,309.84442138671875,163.64720153808594,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,0.9,rseto_ipa_lambda0.9,369.5702819824219,161.28167724609375,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
