dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,4,82,8,rseto_ipa_m8,256.5572509765625,234.40530395507812,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,32,rseto_ipa_m32,256.6287841796875,190.3079376220703,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,128,rseto_ipa_m128,256.6460876464844,188.3716735839844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,512,rseto_ipa_m512,256.6621398925781,190.2022247314453,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,82,2048,rseto_ipa_m2048,256.7017822265625,189.33401489257812,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,9eb1cafe779333f55638d519c721a0fe9fb4960a6a326bbfe427447f6ea2be39,,,,,,,,,,,,,,,
van_havre,4,15,8,rseto_ipa_m8,291.8236999511719,1313.9376220703125,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,32,rseto_ipa_m32,297.5433349609375,180.7589569091797,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,128,rseto_ipa_m128,306.39996337890625,168.57797241210938,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,512,rseto_ipa_m512,305.0848693847656,171.40553283691406,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
van_havre,4,15,2048,rseto_ipa_m2048,305.83447265625,167.39254760742188,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,9aad1c62a5ad56d1fc62858bdd0480fc0cf1d9b3a7c5bd53759903a2c5d0d835,,,,,,,,,,,,,,,
