dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,4,ERM,198.4183864447237,356.76157720411464,198.3592454172314,282.90648727571863,0.0591410274923021,73.85508992839601
exp5,4,4,ERM-NN,199.05936610617968,358.5077281168941,198.3592454172314,282.90648727571863,0.7001206889482887,75.60124084117547
exp5,4,4,LightGBM,198.6521973829045,357.17900636780126,198.3592454172314,282.90648727571863,0.29295196567309745,74.27251909208263
exp5,4,4,M=128,199.332275390625,286.73876953125,198.3592454172314,282.90648727571863,0.9730299733936079,3.832282255531368
exp5,4,4,M=2048,199.2947692871094,286.8070373535156,198.3592454172314,282.90648727571863,0.9355238698780113,3.900550077796993
exp5,4,4,M=32,199.0966796875,286.9961242675781,198.3592454172314,282.90648727571863,0.7374342702686079,4.089636991859493
exp5,4,4,M=512,199.4022674560547,286.8474731445312,198.3592454172314,282.90648727571863,1.0430220388232954,3.940985868812561
exp5,4,4,M=8,199.0614776611328,290.8353576660156,198.3592454172314,282.90648727571863,0.7022322439014204,7.928870390296993
exp5,4,4,R=1,199.3941192626953,286.8462219238281,198.3592454172314,282.90648727571863,1.0348738454639204,3.939734648109493
exp5,4,4,R=16,199.332275390625,286.73876953125,198.3592454172314,282.90648727571863,0.9730299733936079,3.832282255531368
exp5,4,4,R=256,199.1067962646484,286.2821655273438,198.3592454172314,282.90648727571863,0.7475508474170169,3.3756782516251747
exp5,4,4,R=4,199.314697265625,286.7186584472656,198.3592454172314,282.90648727571863,0.9554518483936079,3.812171171546993
exp5,4,4,R=64,199.3344879150391,286.7771301269531,198.3592454172314,282.90648727571863,0.9752424978076988,3.870642851234493
exp5,4,4,Spline-ETO,198.5054321289062,285.0360412597656,198.3592454172314,282.90648727571863,0.14618671167480102,2.129553984046993
exp5,4,4,Spline-QFR,211.3409881591797,324.7723388671875,198.3592454172314,282.90648727571863,12.981742741948295,41.86585159146887
exp5,4,4,lambda=0.1,198.8962249755859,301.2360229492188,198.3592454172314,282.90648727571863,0.5369795583545169,18.329535673500175
exp5,4,4,lambda=0.3,199.1552886962891,287.8211364746094,198.3592454172314,282.90648727571863,0.7960432790576988,4.914649198890743
exp5,4,4,lambda=0.5,199.332275390625,286.73876953125,198.3592454172314,282.90648727571863,0.9730299733936079,3.832282255531368
exp5,4,4,lambda=0.7,199.0553894042969,285.5259704589844,198.3592454172314,282.90648727571863,0.6961439870655113,2.619483183265743
exp5,4,4,lambda=0.9,198.6976318359375,285.3022766113281,198.3592454172314,282.90648727571863,0.33838641870610786,2.395789335609493
