dim,random_state,metric1,metric2,method
4,82,307.95343017578125,182.92864990234375,Spline-ETO
4,15,415.6271362304687,159.61509704589844,Spline-ETO
4,4,404.6307067871094,151.639892578125,Spline-ETO
4,95,412.936279296875,188.9705810546875,Spline-ETO
4,36,326.9949951171875,149.0746307373047,Spline-ETO
4,32,333.1998291015625,159.04598999023438,Spline-ETO
4,29,388.0951843261719,154.75543212890625,Spline-ETO
4,18,368.0376892089844,149.46209716796875,Spline-ETO
4,14,370.9919738769531,164.8555908203125,Spline-ETO
4,87,321.2038879394531,163.2576446533203,Spline-ETO
9,82,316.6046447753906,184.99237060546875,Spline-ETO
9,15,274.5350036621094,156.9605712890625,Spline-ETO
9,4,390.4844665527344,152.72581481933594,Spline-ETO
9,95,341.58514404296875,187.8099822998047,Spline-ETO
9,36,312.95977783203125,151.07337951660156,Spline-ETO
9,32,305.60736083984375,163.01962280273438,Spline-ETO
9,29,345.7099914550781,161.9287109375,Spline-ETO
9,18,400.2126159667969,151.26239013671875,Spline-ETO
9,14,386.9739990234375,171.19891357421875,Spline-ETO
9,87,394.89886474609375,165.26463317871094,Spline-ETO
14,82,327.17236328125,183.7331390380859,Spline-ETO
14,15,345.12579345703125,165.14161682128906,Spline-ETO
14,4,359.7347106933594,155.1446075439453,Spline-ETO
14,95,364.97857666015625,183.23130798339844,Spline-ETO
14,36,318.7908935546875,153.08770751953125,Spline-ETO
14,32,363.427734375,163.1309051513672,Spline-ETO
14,29,442.5230407714844,159.32984924316406,Spline-ETO
14,18,418.4909057617187,157.55560302734375,Spline-ETO
14,14,376.028564453125,166.31092834472656,Spline-ETO
14,87,359.6585693359375,165.58157348632812,Spline-ETO
19,82,359.3736572265625,187.1766815185547,Spline-ETO
19,15,310.6451416015625,165.29771423339844,Spline-ETO
19,4,354.24395751953125,151.05484008789062,Spline-ETO
19,95,389.6396179199219,185.0660858154297,Spline-ETO
19,36,371.1170349121094,153.5117950439453,Spline-ETO
19,32,333.55517578125,161.51132202148438,Spline-ETO
19,29,359.4861755371094,158.06790161132812,Spline-ETO
19,18,359.2117919921875,155.3712615966797,Spline-ETO
19,14,388.43505859375,170.84449768066406,Spline-ETO
19,87,344.9438171386719,164.30657958984375,Spline-ETO
24,82,410.9181518554687,191.8894805908203,Spline-ETO
24,15,440.07080078125,166.1602020263672,Spline-ETO
24,4,295.0353088378906,152.60198974609375,Spline-ETO
24,95,350.6798400878906,190.53488159179688,Spline-ETO
24,36,416.9625854492187,154.02560424804688,Spline-ETO
24,32,362.00152587890625,163.88223266601562,Spline-ETO
24,29,407.945556640625,158.34317016601562,Spline-ETO
24,18,296.3145751953125,154.02334594726562,Spline-ETO
24,14,389.7554931640625,168.36952209472656,Spline-ETO
24,87,419.6610107421875,171.5925750732422,Spline-ETO
4,82,353.88848876953125,188.13540649414065,Spline-QFR
4,15,396.8363037109375,168.49859619140625,Spline-QFR
4,4,373.0069885253906,165.5450897216797,Spline-QFR
4,95,401.7076110839844,200.28582763671875,Spline-QFR
4,36,335.46856689453125,167.0348663330078,Spline-QFR
4,32,305.39080810546875,170.72280883789062,Spline-QFR
4,29,386.6671447753906,159.26634216308594,Spline-QFR
4,18,339.8951416015625,157.67372131347656,Spline-QFR
4,14,359.8449401855469,172.99024963378906,Spline-QFR
4,87,296.5360107421875,169.43629455566406,Spline-QFR
9,82,470.4386901855469,191.97140502929688,Spline-QFR
9,15,266.5820617675781,160.98300170898438,Spline-QFR
9,4,359.6138916015625,164.2340850830078,Spline-QFR
9,95,327.17437744140625,189.66986083984375,Spline-QFR
9,36,310.0234069824219,159.475341796875,Spline-QFR
9,32,307.07794189453125,169.18251037597656,Spline-QFR
